msa_key,name,name_short,state_code,xmin,ymin,xmax,ymax,gmt_offset,target_aqsids
"Indianapolis, IN","Indianapolis-Carmel, IN MSA","Indianapolis","IN",-86.5,39.5,-85.7,40.1,-5,
"Jackson, MS","Jackson, MS MSA","JacksonMS","MS",-90.5,32,-89.8,32.6,-6,"280490020;280490021"
"Jacksonville, FL","Jacksonville, FL MSA","Jacksonville","FL",-82,30,-81.3,30.6,-5,
"Kansas City, MO-KS","Kansas City, MO-KS MSA","KansasCity","MO;KS",-94.8,38.8,-94.2,39.3,-6,
"Knoxville, TN","Knoxville, TN MSA","Knoxville","TN",-84.4,35.7,-83.6,36.3,-5,
"Las Vegas, NV","Las Vegas-Henderson, NV MSA","LasVegas","NV",-115.5,36,-114.8,36.5,-8,
"Little Rock, AR","Little Rock, AR MSA","LittleRock","AR",-92.7,34.5,-91.9,35.1,-6,
"Los Angeles, CA","Los Angeles-Long Beach, CA MSA","LosAngeles","CA",-118.8,33.7,-117.8,34.4,-8,
"Memphis, TN-MS-AR","Memphis, TN-MS-AR MSA","Memphis","TN;MS;AR",-90.4,34.7,-89.6,35.5,-6,
"Miami, FL","Miami-Fort Lauderdale, FL MSA","Miami","FL",-80.6,25.5,-80,26.3,-5,
"Milwaukee, WI","Milwaukee-Waukesha, WI MSA","Milwaukee","WI",-88.3,42.7,-87.7,43.2,-6,
"Minneapolis, MN-WI","Minneapolis-St. Paul, MN-WI","Minneapolis","MN;WI",-93.7,44.7,-93,45.2,-6,
"Mobile, AL","Mobile, AL MSA","Mobile","AL",-88.5,30.5,-87.7,31,-6,
"Nashville, TN","Nashville-Davidson, TN MSA","Nashville","TN",-87.2,35.9,-86.4,36.6,-6,
"New Orleans, LA","New Orleans-Metairie, LA MSA","NewOrleans","LA",-90.5,29.7,-89.5,30.3,-6,
"New York, NY","New York-Newark, NY-NJ-CT MSA","NewYork","NY;NJ;CT",-74.3,40.5,-73.7,41,-5,
"Oklahoma City, OK","Oklahoma City, OK MSA","OKC","OK",-97.8,35.3,-97.2,35.7,-6,
"Orlando, FL","Orlando-Kissimmee, FL MSA","Orlando","FL",-81.8,28.2,-81,28.9,-5,
"Philadelphia, PA-NJ","Philadelphia-Camden, PA-NJ MSA","Philadelphia","PA;NJ",-75.4,39.8,-74.8,40.2,-5,
"Phoenix, AZ","Phoenix-Mesa, AZ MSA","Phoenix","AZ",-112.5,33.2,-111.7,33.8,-7,
"Pittsburgh, PA","Pittsburgh, PA MSA","Pittsburgh","PA",-80.2,40.2,-79.8,40.6,-5,
"Portland, OR-WA","Portland-Vancouver, OR-WA MSA","Portland","OR;WA",-122.9,45.3,-122.3,45.7,-8,
"Raleigh, NC","Raleigh-Cary, NC MSA","Raleigh","NC",-79,35.6,-78.4,36.1,-5,
"Richmond, VA","Richmond, VA MSA","Richmond","VA",-77.9,37.2,-77.2,37.7,-5,
"Sacramento, CA","Sacramento-Roseville, CA MSA","Sacramento","CA",-121.8,38.3,-121,38.8,-8,
"Salt Lake City, UT","Salt Lake City, UT MSA","SaltLake","UT",-112.2,40.4,-111.6,41,-7,
"San Antonio, TX","San Antonio, TX MSA","SanAntonio","TX",-98.8,29.2,-98,29.8,-6,
"San Diego, CA","San Diego-Carlsbad, CA MSA","SanDiego","CA",-117.6,32.5,-116.5,33.5,-8,
"San Francisco, CA","San Francisco-Oakland, CA MSA","SanFrancisco","CA",-122.6,37.5,-121.9,38,-8,
"Savannah, GA","Savannah, GA MSA","Savannah","GA",-81.3,31.9,-80.8,32.2,-5,
"Seattle, WA","Seattle-Tacoma-Bellevue, WA","Seattle","WA",-122.6,47.3,-121.9,47.8,-8,
"Shreveport, LA","Shreveport-Bossier City, LA","Shreveport","LA",-94.2,32.3,-93.5,32.8,-6,
"St. Louis, MO-IL","St. Louis, MO-IL MSA","StLouis","MO;IL",-90.7,38.4,-90,38.9,-6,
"Tampa, FL","Tampa-St. Petersburg, FL MSA","Tampa","FL",-82.8,27.7,-82.1,28.2,-5,
"Tucson, AZ","Tucson, AZ MSA","Tucson","AZ",-111.1,32.1,-110.6,32.5,-7,
"Tulsa, OK","Tulsa, OK MSA","Tulsa","OK",-96.2,35.9,-95.7,36.3,-6,
"Washington, DC","Washington-Arlington DC-VA-MD","WashDC","DC;VA;MD",-77.5,38.6,-76.8,39.1,-5,
"-- Custom Location --","Custom Location","Custom",,,,-6,
